0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:48:56 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:49:07 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:49:07 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:49:07 +0530] "GET /RegisterLoginPage/bgpic4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:49:40 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:49:40 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:49:59 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:49:59 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:49:59 +0530] "GET /RegisterLoginPage/bgpic4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:50:04 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:50:04 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:50:41 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:50:41 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:50:42 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:50:42 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:50:42 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:50:42 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:50:43 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:50:43 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:50:43 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:50:43 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 304 -
